dt,variation,members,subscriber_cnt,access_cnt,access_instant_cnt,access_ex_trial_cnt,access_trial_cnt,accesses_per_subscriber,"member -> subscriber, %","trial -> cancel, %","trial -> charge, %","trial subscriber -> buyer, %","subscriber -> buyer, %","member -> buyer, %","subscription -> charge, %","charge -> 14d cancel, %","charge -> 14d refund, %",charged_trial_cnt,trial_subscriber_cnt,cancel_trial_cnt,charge_cnt,refund_14d_cnt,buyer_cnt,cancel_14d_cnt,cancel_1m_cnt,revenue,"charge -> 1m cancel, %",arppu,aov,exp_arpu,exp_trial_arpu,exp_instant_arpu,aov_var,arppu_var,exp_arpu_var
02/06/25,1,4494,110,113,42,0,71,1.0272727272727273,2.4477080551846906,57.74647887323944,26.76056338028169,27.142857142857142,53.63636363636364,1.312861593235425,53.98230088495575,18.0327868852459,3.278688524590164,19,70,41,61,2,59,11,11,1355.7670203685761,18.0327868852459,22.97910204014536,22.225688858501247,0.3016838051554464,0.1294408108957831,0.1722429942596633,185.7458234219329,135.18770429252118,8.616237272666451
03/06/25,1,10844,237,246,87,1,158,1.0379746835443038,2.185540390999631,57.59493670886076,25.949367088607595,26.143790849673206,53.16455696202531,1.1619328661010697,52.4390243902439,20.930232558139537,3.10077519379845,41,153,91,129,4,126,27,30,2919.312049198151,23.25581395348837,23.16914324760437,22.630325962776364,0.26920989018795194,0.11209018974451945,0.1571197004434325,169.3130403295447,138.02081582129392,7.768597765549931
04/06/25,1,31507,399,415,146,2,267,1.0401002506265664,1.2663852477227284,54.68164794007491,27.340823970037455,28.125,54.385964912280706,0.6887358364807821,53.25301204819277,22.624434389140273,1.809954751131222,73,256,146,221,4,217,50,58,5139.812093400956,26.244343891402718,23.685770015672606,23.257068295931926,0.163132386244357,0.06806697033351138,0.09506541591084561,145.9079197844147,125.91807945373533,4.704546945056152
05/06/25,1,64989,562,591,207,7,377,1.0516014234875444,0.8647617289079691,55.702917771883286,28.381962864721483,29.329608938547487,55.51601423487544,0.4800812445183031,54.314720812182735,20.87227414330218,2.1806853582554515,107,358,210,321,7,312,67,79,7628.510157823563,24.610591900311526,24.450353069947315,23.764829152098326,0.1173815593073222,0.04976377637154943,0.06761778293577277,177.39325478465165,180.2496802949621,3.721587046899886
06/06/25,1,72657,583,612,217,7,388,1.0497427101200687,0.8024003193085318,54.89690721649485,29.12371134020619,30.081300813008134,56.26072041166381,0.4514362002284707,55.06535947712419,20.178041543026705,2.0771513353115725,113,369,213,337,7,328,68,82,7982.224167585373,24.33234421364985,24.33604929141882,23.686125126366093,0.1098617362069088,0.04720828097169516,0.06265345523521365,176.32440456488987,179.18255955838825,3.470425964832291
02/06/25,2,4398,114,120,29,1,90,1.0526315789473684,2.592087312414734,60.0,23.333333333333332,24.705882352941178,43.859649122807014,1.1368804001819008,42.5,27.450980392156865,3.9215686274509802,21,85,54,51,2,50,14,18,1147.1800206184387,35.294117647058826,22.943600412368774,22.49372589447919,0.2608412961842744,0.14492110290978374,0.11592019327449062,230.82599651864268,141.6782212576337,7.527312217705615
03/06/25,2,10994,276,290,81,2,207,1.0507246376811594,2.510460251046025,60.86956521739131,23.67149758454106,24.615384615384617,46.73913043478261,1.1733672912497726,45.51724137931035,20.454545454545457,3.787878787878788,49,195,126,132,5,129,27,38,2925.8630549430845,28.78787878787879,22.68110895304717,22.16562920411428,0.2661327137477792,0.13004011558753395,0.13609259816024527,212.21753464717642,146.43529975239997,7.6835823652949555
04/06/25,2,31531,452,472,132,3,337,1.0442477876106195,1.4335098791665346,60.83086053412463,23.738872403560833,24.458204334365323,46.68141592920354,0.669182709079953,45.55084745762712,24.651162790697676,2.7906976744186047,80,323,205,215,6,211,53,67,4912.1380915641785,31.16279069767442,23.28027531547004,22.847153914251994,0.155787577037334,0.07409352869384239,0.0816940483434916,183.32704876911444,137.69209376958275,4.523919598276173
05/06/25,2,65179,714,749,198,6,545,1.0490196078431373,1.095444851869467,57.98165137614679,25.321100917431195,26.153846153846157,46.9187675070028,0.5139692232160665,45.66088117489986,25.438596491228072,4.385964912280701,138,520,316,342,15,335,87,104,7798.857164597512,30.409356725146196,23.28017064058959,22.803675919875765,0.11965291220481308,0.06192792309737184,0.057724989107441234,226.03745642077448,141.79409085824514,3.5000013817228446
06/06/25,2,72941,743,778,207,8,563,1.047106325706595,1.0186314966891048,57.548845470692726,25.57726465364121,26.394052044609666,47.37550471063257,0.48258181269793393,46.1439588688946,24.79108635097493,4.456824512534819,144,538,324,359,16,352,89,108,8229.565173935891,30.08356545961003,23.379446516863325,22.923579871687718,0.11282495679982302,0.0574274838852452,0.05539747291457782,222.2702937630848,139.4324818463736,3.287750531426921
